"","occupation","code","education","work_experience","job_training","year"
"1835","Set and exhibit designers","27-1027","Bachelor's degree","None","None","2012"
"1836","Designers, all other","27-1029","Bachelor's degree","None","None","2012"
"1837","Actors","27-2011","Some college, no degree","None","Long-term on-the-job training","2012"
"1838","Producers and directors","27-2012","Bachelor's degree","Less than 5 years","None","2012"
"1839","Athletes and sports competitors","27-2021","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1840","Coaches and scouts","27-2022","Bachelor's degree","None","None","2012"
"1841","Umpires, referees, and other sports officials","27-2023","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1842","Dancers","27-2031","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1843","Choreographers","27-2032","High school diploma or equivalent","5 years or more","Long-term on-the-job training","2012"
"1844","Music directors and composers","27-2041","Bachelor's degree","Less than 5 years","None","2012"
"1845","Musicians and singers","27-2042","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1846","Entertainers and performers, sports and related workers, all other","27-2099","High school diploma or equivalent","None","None","2012"
"1847","Radio and television announcers","27-3011","Bachelor's degree","None","None","2012"
"1848","Public address system and other announcers","27-3012","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1849","Broadcast news analysts","27-3021","Bachelor's degree","None","None","2012"
"1850","Reporters and correspondents","27-3022","Bachelor's degree","None","None","2012"
"1851","Public relations specialists","27-3031","Bachelor's degree","None","None","2012"
"1852","Editors","27-3041","Bachelor's degree","Less than 5 years","None","2012"
"1853","Technical writers","27-3042","Bachelor's degree","Less than 5 years","Short-term on-the-job training","2012"
"1854","Writers and authors","27-3043","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"1855","Interpreters and translators","27-3091","Bachelor's degree","None","Short-term on-the-job training","2012"
"1856","Media and communication workers, all other","27-3099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1857","Audio and video equipment technicians","27-4011","Postsecondary non-degree award","None","Short-term on-the-job training","2012"
"1858","Broadcast technicians","27-4012","Associate's degree","None","Short-term on-the-job training","2012"
"1859","Radio operators","27-4013","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1860","Sound engineering technicians","27-4014","Postsecondary non-degree award","None","Short-term on-the-job training","2012"
"1861","Photographers","27-4021","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1862","Camera operators, television, video, and motion picture","27-4031","Bachelor's degree","None","None","2012"
"1863","Film and video editors","27-4032","Bachelor's degree","None","None","2012"
"1864","Media and communication equipment workers, all other","27-4099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1865","Chiropractors","29-1011","Doctoral or professional degree","None","None","2012"
"1866","Dentists, general","29-1021","Doctoral or professional degree","None","None","2012"
"1867","Oral and maxillofacial surgeons","29-1022","Doctoral or professional degree","None","Internship/residency","2012"
"1868","Orthodontists","29-1023","Doctoral or professional degree","None","Internship/residency","2012"
"1869","Prosthodontists","29-1024","Doctoral or professional degree","None","Internship/residency","2012"
"1870","Dentists, all other specialists","29-1029","Doctoral or professional degree","None","Internship/residency","2012"
"1871","Dietitians and nutritionists","29-1031","Bachelor's degree","None","Internship/residency","2012"
"1872","Optometrists","29-1041","Doctoral or professional degree","None","None","2012"
"1873","Pharmacists","29-1051","Doctoral or professional degree","None","None","2012"
"1874","Anesthesiologists","29-1061","Doctoral or professional degree","None","Internship/residency","2012"
"1875","Family and general practitioners","29-1062","Doctoral or professional degree","None","Internship/residency","2012"
"1876","Internists, general","29-1063","Doctoral or professional degree","None","Internship/residency","2012"
"1877","Obstetricians and gynecologists","29-1064","Doctoral or professional degree","None","Internship/residency","2012"
"1878","Pediatricians, general","29-1065","Doctoral or professional degree","None","Internship/residency","2012"
"1879","Psychiatrists","29-1066","Doctoral or professional degree","None","Internship/residency","2012"
"1880","Surgeons","29-1067","Doctoral or professional degree","None","Internship/residency","2012"
"1881","Physicians and surgeons, all other","29-1069","Doctoral or professional degree","None","Internship/residency","2012"
"1882","Physician assistants","29-1071","Master's degree","None","None","2012"
"1883","Podiatrists","29-1081","Doctoral or professional degree","None","Internship/residency","2012"
"1884","Occupational therapists","29-1122","Master's degree","None","None","2012"
"1885","Physical therapists","29-1123","Doctoral or professional degree","None","None","2012"
"1886","Radiation therapists","29-1124","Associate's degree","None","None","2012"
"1887","Recreational therapists","29-1125","Bachelor's degree","None","None","2012"
"1888","Respiratory therapists","29-1126","Associate's degree","None","None","2012"
"1889","Speech-language pathologists","29-1127","Master's degree","None","None","2012"
"1890","Exercise physiologists","29-1128","Bachelor's degree","None","None","2012"
"1891","Therapists, all other","29-1129","Bachelor's degree","None","None","2012"
"1892","Veterinarians","29-1131","Doctoral or professional degree","None","None","2012"
"1893","Registered nurses","29-1141","Associate's degree","None","None","2012"
"1894","Nurse anesthetists","29-1151","Master's degree","None","None","2012"
"1895","Nurse midwives","29-1161","Master's degree","None","None","2012"
"1896","Nurse practitioners","29-1171","Master's degree","None","None","2012"
"1897","Audiologists","29-1181","Doctoral or professional degree","None","None","2012"
"1898","Health diagnosing and treating practitioners, all other","29-1199","Master's degree","None","None","2012"
"1899","Medical and clinical laboratory technologists","29-2011","Bachelor's degree","None","None","2012"
"1900","Medical and clinical laboratory technicians","29-2012","Associate's degree","None","None","2012"
"1901","Dental hygienists","29-2021","Associate's degree","None","None","2012"
"1902","Cardiovascular technologists and technicians","29-2031","Associate's degree","None","None","2012"
"1903","Diagnostic medical sonographers","29-2032","Associate's degree","None","None","2012"
"1904","Nuclear medicine technologists","29-2033","Associate's degree","None","None","2012"
"1905","Radiologic technologists","29-2034","Associate's degree","None","None","2012"
"1906","Magnetic resonance imaging technologists","29-2035","Associate's degree","Less than 5 years","None","2012"
"1907","Emergency medical technicians and paramedics","29-2041","Postsecondary non-degree award","None","None","2012"
"1908","Dietetic technicians","29-2051","Associate's degree","None","None","2012"
"1909","Pharmacy technicians","29-2052","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1910","Psychiatric technicians","29-2053","Postsecondary non-degree award","None","Short-term on-the-job training","2012"
"1911","Respiratory therapy technicians","29-2054","Associate's degree","None","Moderate-term on-the-job training","2012"
"1912","Surgical technologists","29-2055","Postsecondary non-degree award","None","None","2012"
"1913","Veterinary technologists and technicians","29-2056","Associate's degree","None","None","2012"
"1914","Ophthalmic medical technicians","29-2057","Postsecondary non-degree award","None","None","2012"
"1915","Licensed practical and licensed vocational nurses","29-2061","Postsecondary non-degree award","None","None","2012"
"1916","Medical records and health information technicians","29-2071","Postsecondary non-degree award","None","None","2012"
"1917","Opticians, dispensing","29-2081","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1918","Orthotists and prosthetists","29-2091","Master's degree","None","Internship/residency","2012"
"1919","Hearing aid specialists","29-2092","High school diploma or equivalent","None","None","2012"
"1920","Health technologists and technicians, all other","29-2099","High school diploma or equivalent","None","None","2012"
"1921","Occupational health and safety specialists","29-9011","Bachelor's degree","None","Short-term on-the-job training","2012"
"1922","Occupational health and safety technicians","29-9012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1923","Athletic trainers","29-9091","Bachelor's degree","None","None","2012"
"1924","Genetic counselors","29-9092","Master's degree","None","None","2012"
"1925","Healthcare practitioners and technical workers, all other","29-9099","Bachelor's degree","None","None","2012"
"1926","Home health aides","31-1011","Less than high school","None","Short-term on-the-job training","2012"
"1927","Psychiatric aides","31-1013","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1928","Nursing assistants","31-1014","Postsecondary non-degree award","None","None","2012"
"1929","Orderlies","31-1015","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1930","Occupational therapy assistants","31-2011","Associate's degree","None","None","2012"
"1931","Occupational therapy aides","31-2012","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1932","Physical therapist assistants","31-2021","Associate's degree","None","None","2012"
"1933","Physical therapist aides","31-2022","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1934","Massage therapists","31-9011","Postsecondary non-degree award","None","None","2012"
"1935","Dental assistants","31-9091","Postsecondary non-degree award","None","None","2012"
"1936","Medical assistants","31-9092","Postsecondary non-degree award","None","None","2012"
"1937","Medical equipment preparers","31-9093","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1938","Medical transcriptionists","31-9094","Postsecondary non-degree award","None","None","2012"
"1939","Pharmacy aides","31-9095","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1940","Veterinary assistants and laboratory animal caretakers","31-9096","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1941","Phlebotomists","31-9097","Postsecondary non-degree award","None","None","2012"
"1942","Healthcare support workers, all other","31-9099","High school diploma or equivalent","None","None","2012"
"1943","First-line supervisors of correctional officers","33-1011","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1944","First-line supervisors of police and detectives","33-1012","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1945","First-line supervisors of fire fighting and prevention workers","33-1021","Postsecondary non-degree award","Less than 5 years","Moderate-term on-the-job training","2012"
"1946","First-line supervisors of protective service workers, all other","33-1099","High school diploma or equivalent","Less than 5 years","None","2012"
"1947","Firefighters","33-2011","Postsecondary non-degree award","None","Long-term on-the-job training","2012"
"1948","Fire inspectors and investigators","33-2021","High school diploma or equivalent","5 years or more","Moderate-term on-the-job training","2012"
"1949","Forest fire inspectors and prevention specialists","33-2022","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1950","Bailiffs","33-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1951","Correctional officers and jailers","33-3012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1952","Detectives and criminal investigators","33-3021","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1953","Fish and game wardens","33-3031","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1954","Parking enforcement workers","33-3041","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1955","Police and sheriff's patrol officers","33-3051","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1956","Transit and railroad police","33-3052","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1957","Animal control workers","33-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1958","Private detectives and investigators","33-9021","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1959","Gaming surveillance officers and gaming investigators","33-9031","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1960","Security guards","33-9032","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1961","Crossing guards","33-9091","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1962","Lifeguards, ski patrol, and other recreational protective service workers","33-9092","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1963","Transportation security screeners","33-9093","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1964","Protective service workers, all other","33-9099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1965","Chefs and head cooks","35-1011","High school diploma or equivalent","5 years or more","None","2012"
"1966","First-line supervisors of food preparation and serving workers","35-1012","High school diploma or equivalent","Less than 5 years","None","2012"
"1967","Cooks, fast food","35-2011","Less than high school","None","Short-term on-the-job training","2012"
"1968","Cooks, institution and cafeteria","35-2012","Less than high school","None","Short-term on-the-job training","2012"
"1969","Cooks, private household","35-2013","Postsecondary non-degree award","Less than 5 years","None","2012"
"1970","Cooks, restaurant","35-2014","Less than high school","Less than 5 years","Moderate-term on-the-job training","2012"
"1971","Cooks, short order","35-2015","Less than high school","None","Short-term on-the-job training","2012"
"1972","Cooks, all other","35-2019","Less than high school","None","Moderate-term on-the-job training","2012"
"1973","Food preparation workers","35-2021","Less than high school","None","Short-term on-the-job training","2012"
"1974","Bartenders","35-3011","Less than high school","None","Short-term on-the-job training","2012"
"1975","Combined food preparation and serving workers, including fast food","35-3021","Less than high school","None","Short-term on-the-job training","2012"
"1976","Counter attendants, cafeteria, food concession, and coffee shop","35-3022","Less than high school","None","Short-term on-the-job training","2012"
"1977","Waiters and waitresses","35-3031","Less than high school","None","Short-term on-the-job training","2012"
"1978","Food servers, nonrestaurant","35-3041","Less than high school","None","Short-term on-the-job training","2012"
"1979","Dining room and cafeteria attendants and bartender helpers","35-9011","Less than high school","None","Short-term on-the-job training","2012"
"1980","Dishwashers","35-9021","Less than high school","None","Short-term on-the-job training","2012"
"1981","Hosts and hostesses, restaurant, lounge, and coffee shop","35-9031","Less than high school","None","None","2012"
"1982","Food preparation and serving related workers, all other","35-9099","Less than high school","None","Short-term on-the-job training","2012"
"1983","First-line supervisors of housekeeping and janitorial workers","37-1011","High school diploma or equivalent","Less than 5 years","None","2012"
"1984","First-line supervisors of landscaping, lawn service, and groundskeeping workers","37-1012","High school diploma or equivalent","Less than 5 years","None","2012"
"1985","Janitors and cleaners, except maids and housekeeping cleaners","37-2011","Less than high school","None","Short-term on-the-job training","2012"
"1986","Maids and housekeeping cleaners","37-2012","Less than high school","None","Short-term on-the-job training","2012"
"1987","Building cleaning workers, all other","37-2019","Less than high school","None","Short-term on-the-job training","2012"
"1988","Pest control workers","37-2021","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1989","Landscaping and groundskeeping workers","37-3011","Less than high school","None","Short-term on-the-job training","2012"
"1990","Pesticide handlers, sprayers, and applicators, vegetation","37-3012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1991","Tree trimmers and pruners","37-3013","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1992","Grounds maintenance workers, all other","37-3019","Less than high school","None","Short-term on-the-job training","2012"
"1993","Gaming supervisors","39-1011","High school diploma or equivalent","Less than 5 years","None","2012"
"1994","Slot supervisors","39-1012","High school diploma or equivalent","Less than 5 years","None","2012"
"1995","First-line supervisors of personal service workers","39-1021","High school diploma or equivalent","Less than 5 years","None","2012"
"1996","Animal trainers","39-2011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1997","Nonfarm animal caretakers","39-2021","Less than high school","None","Short-term on-the-job training","2012"
"1998","Gaming dealers","39-3011","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1999","Gaming and sports book writers and runners","39-3012","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2000","Gaming service workers, all other","39-3019","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2001","Motion picture projectionists","39-3021","Less than high school","None","Short-term on-the-job training","2012"
"2002","Ushers, lobby attendants, and ticket takers","39-3031","Less than high school","None","Short-term on-the-job training","2012"
"2003","Amusement and recreation attendants","39-3091","Less than high school","None","Short-term on-the-job training","2012"
"2004","Costume attendants","39-3092","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2005","Locker room, coatroom, and dressing room attendants","39-3093","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2006","Entertainment attendants and related workers, all other","39-3099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2007","Embalmers","39-4011","Postsecondary non-degree award","None","Short-term on-the-job training","2012"
"2008","Funeral attendants","39-4021","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2009","Morticians, undertakers, and funeral directors","39-4031","Associate's degree","None","Long-term on-the-job training","2012"
"2010","Barbers","39-5011","Postsecondary non-degree award","None","None","2012"
"2011","Hairdressers, hairstylists, and cosmetologists","39-5012","Postsecondary non-degree award","None","None","2012"
"2012","Makeup artists, theatrical and performance","39-5091","Postsecondary non-degree award","None","None","2012"
"2013","Manicurists and pedicurists","39-5092","Postsecondary non-degree award","None","None","2012"
"2014","Shampooers","39-5093","Less than high school","None","Short-term on-the-job training","2012"
"2015","Skincare specialists","39-5094","Postsecondary non-degree award","None","None","2012"
"2016","Baggage porters and bellhops","39-6011","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2017","Concierges","39-6012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2018","Tour guides and escorts","39-7011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2019","Travel guides","39-7012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2020","Childcare workers","39-9011","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2021","Personal care aides","39-9021","Less than high school","None","Short-term on-the-job training","2012"
"2022","Fitness trainers and aerobics instructors","39-9031","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2023","Recreation workers","39-9032","Bachelor's degree","None","None","2012"
"2024","Residential advisors","39-9041","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2025","Personal care and service workers, all other","39-9099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2026","First-line supervisors of retail sales workers","41-1011","High school diploma or equivalent","Less than 5 years","None","2012"
"2027","First-line supervisors of non-retail sales workers","41-1012","High school diploma or equivalent","Less than 5 years","None","2012"
"2028","Cashiers","41-2011","Less than high school","None","Short-term on-the-job training","2012"
"2029","Gaming change persons and booth cashiers","41-2012","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2030","Counter and rental clerks","41-2021","Less than high school","None","Short-term on-the-job training","2012"
"2031","Parts salespersons","41-2022","Less than high school","None","Moderate-term on-the-job training","2012"
"2032","Retail salespersons","41-2031","Less than high school","None","Short-term on-the-job training","2012"
"2033","Advertising sales agents","41-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2034","Insurance sales agents","41-3021","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2035","Securities, commodities, and financial services sales agents","41-3031","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"2036","Travel agents","41-3041","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2037","Sales representatives, services, all other","41-3099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2038","Sales representatives, wholesale and manufacturing, technical and scientific products","41-4011","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"2039","Sales representatives, wholesale and manufacturing, except technical and scientific products","41-4012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2040","Demonstrators and product promoters","41-9011","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2041","Models","41-9012","Less than high school","None","None","2012"
"2042","Real estate brokers","41-9021","High school diploma or equivalent","Less than 5 years","None","2012"
"2043","Real estate sales agents","41-9022","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"2044","Sales engineers","41-9031","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"2045","Telemarketers","41-9041","Less than high school","None","Short-term on-the-job training","2012"
"2046","Door-to-door sales workers, news and street vendors, and related workers","41-9091","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2047","Sales and related workers, all other","41-9099","High school diploma or equivalent","None","None","2012"
"2048","First-line supervisors of office and administrative support workers","43-1011","High school diploma or equivalent","Less than 5 years","None","2012"
"2049","Switchboard operators, including answering service","43-2011","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2050","Telephone operators","43-2021","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2051","Communications equipment operators, all other","43-2099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2052","Bill and account collectors","43-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2053","Billing and posting clerks","43-3021","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2054","Bookkeeping, accounting, and auditing clerks","43-3031","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2055","Gaming cage workers","43-3041","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2056","Payroll and timekeeping clerks","43-3051","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2057","Procurement clerks","43-3061","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2058","Tellers","43-3071","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2059","Financial clerks, all other","43-3099","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2060","Brokerage clerks","43-4011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2061","Correspondence clerks","43-4021","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2062","Court, municipal, and license clerks","43-4031","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2063","Credit authorizers, checkers, and clerks","43-4041","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2064","Customer service representatives","43-4051","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2065","Eligibility interviewers, government programs","43-4061","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2066","File clerks","43-4071","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2067","Hotel, motel, and resort desk clerks","43-4081","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2068","Interviewers, except eligibility and loan","43-4111","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2069","Library assistants, clerical","43-4121","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2070","Loan interviewers and clerks","43-4131","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2071","New accounts clerks","43-4141","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2072","Order clerks","43-4151","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2073","Human resources assistants, except payroll and timekeeping","43-4161","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2074","Receptionists and information clerks","43-4171","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2075","Reservation and transportation ticket agents and travel clerks","43-4181","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2076","Information and record clerks, all other","43-4199","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2077","Cargo and freight agents","43-5011","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2078","Couriers and messengers","43-5021","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2079","Police, fire, and ambulance dispatchers","43-5031","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2080","Dispatchers, except police, fire, and ambulance","43-5032","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2081","Meter readers, utilities","43-5041","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2082","Postal service clerks","43-5051","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2083","Postal service mail carriers","43-5052","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2084","Postal service mail sorters, processors, and processing machine operators","43-5053","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2085","Production, planning, and expediting clerks","43-5061","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2086","Shipping, receiving, and traffic clerks","43-5071","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2087","Stock clerks and order fillers","43-5081","Less than high school","None","Short-term on-the-job training","2012"
"2088","Weighers, measurers, checkers, and samplers, recordkeeping","43-5111","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2089","Executive secretaries and executive administrative assistants","43-6011","High school diploma or equivalent","Less than 5 years","None","2012"
"2090","Legal secretaries","43-6012","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2091","Medical secretaries","43-6013","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2092","Secretaries and administrative assistants, except legal, medical, and executive","43-6014","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2093","Computer operators","43-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2094","Data entry keyers","43-9021","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2095","Word processors and typists","43-9022","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2096","Desktop publishers","43-9031","Associate's degree","None","Short-term on-the-job training","2012"
"2097","Insurance claims and policy processing clerks","43-9041","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2098","Mail clerks and mail machine operators, except postal service","43-9051","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2099","Office clerks, general","43-9061","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2100","Office machine operators, except computer","43-9071","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2101","Proofreaders and copy markers","43-9081","Bachelor's degree","None","None","2012"
"2102","Statistical assistants","43-9111","Bachelor's degree","None","None","2012"
"2103","Office and administrative support workers, all other","43-9199","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2104","First-line supervisors of farming, fishing, and forestry workers","45-1011","High school diploma or equivalent","Less than 5 years","None","2012"
"2105","Agricultural inspectors","45-2011","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"2106","Animal breeders","45-2021","High school diploma or equivalent","Less than 5 years","Short-term on-the-job training","2012"
"2107","Graders and sorters, agricultural products","45-2041","Less than high school","None","Short-term on-the-job training","2012"
"2108","Agricultural equipment operators","45-2091","Less than high school","None","Short-term on-the-job training","2012"
"2109","Farmworkers and laborers, crop, nursery, and greenhouse","45-2092","Less than high school","None","Short-term on-the-job training","2012"
"2110","Farmworkers, farm, ranch, and aquacultural animals","45-2093","Less than high school","None","Short-term on-the-job training","2012"
"2111","Agricultural workers, all other","45-2099","Less than high school","None","Short-term on-the-job training","2012"
"2112","Fishers and related fishing workers","45-3011","Less than high school","None","Moderate-term on-the-job training","2012"
"2113","Hunters and trappers","45-3021","Less than high school","None","Short-term on-the-job training","2012"
"2114","Forest and conservation workers","45-4011","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2115","Fallers","45-4021","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2116","Logging equipment operators","45-4022","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2117","Log graders and scalers","45-4023","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2118","Logging workers, all other","45-4029","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2119","First-line supervisors of construction trades and extraction workers","47-1011","High school diploma or equivalent","5 years or more","None","2012"
"2120","Boilermakers","47-2011","High school diploma or equivalent","None","Apprenticeship","2012"
"2121","Brickmasons and blockmasons","47-2021","High school diploma or equivalent","None","Apprenticeship","2012"
"2122","Stonemasons","47-2022","High school diploma or equivalent","None","Apprenticeship","2012"
"2123","Carpenters","47-2031","High school diploma or equivalent","None","Apprenticeship","2012"
"2124","Carpet installers","47-2041","Less than high school","None","Short-term on-the-job training","2012"
"2125","Floor layers, except carpet, wood, and hard tiles","47-2042","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2126","Floor sanders and finishers","47-2043","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2127","Tile and marble setters","47-2044","Less than high school","None","Long-term on-the-job training","2012"
"2128","Cement masons and concrete finishers","47-2051","Less than high school","None","Moderate-term on-the-job training","2012"
"2129","Terrazzo workers and finishers","47-2053","High school diploma or equivalent","None","Apprenticeship","2012"
"2130","Construction laborers","47-2061","Less than high school","None","Short-term on-the-job training","2012"
"2131","Paving, surfacing, and tamping equipment operators","47-2071","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2132","Pile-driver operators","47-2072","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2133","Operating engineers and other construction equipment operators","47-2073","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2134","Drywall and ceiling tile installers","47-2081","Less than high school","None","Moderate-term on-the-job training","2012"
"2135","Tapers","47-2082","Less than high school","None","Moderate-term on-the-job training","2012"
"2136","Electricians","47-2111","High school diploma or equivalent","None","Apprenticeship","2012"
"2137","Glaziers","47-2121","High school diploma or equivalent","None","Apprenticeship","2012"
"2138","Insulation workers, floor, ceiling, and wall","47-2131","Less than high school","None","Short-term on-the-job training","2012"
"2139","Insulation workers, mechanical","47-2132","High school diploma or equivalent","None","Apprenticeship","2012"
"2140","Painters, construction and maintenance","47-2141","Less than high school","None","Moderate-term on-the-job training","2012"
"2141","Paperhangers","47-2142","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2142","Pipelayers","47-2151","Less than high school","None","Short-term on-the-job training","2012"
"2143","Plumbers, pipefitters, and steamfitters","47-2152","High school diploma or equivalent","None","Apprenticeship","2012"
