"","employment","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"603","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",35.5,"–","51-9041","    6.60","   18.35","    7.17","    1.56","    1.10","    0.50","   0.21","2015","51-904"
"604","Farmers, ranchers, and other agricultural managers",936.5,"56.1","2598276","   98.33","  344.63","  191.05","   86.16","  179.81","   27.16","   9.37","2015","259827"
"605","Fence erectors",34,"–","47-4031","   13.26","   12.99","    5.44","    0.95","    0.82","    0.41","   0.14","2015","47-403"
"606","File clerks",274.5,"40.799999999999997","43-4071","    9.33","   82.35","   84.82","   32.12","   51.33","   12.63","   1.65","2015","43-407"
"607","Financial analysts",97,"38.700000000000003","13-2051","    0.29","    1.94","    5.72","    3.10","   50.25","   32.01","   3.69","2015","13-205"
"608","Financial clerks, all other",53.5,"42.7","43-3099","    0.64","    8.72","   13.21","    5.08","   17.87","    7.44","   0.54","2015","43-309"
"609","Financial examiners",14,"–","13-2061","    0.00","    0.92","    0.69","    0.91","    7.87","    3.33","   0.29","2015","13-206"
"610","Financial managers",1223,"43.8","413395","   13.45","  122.30","  225.03","   95.39","  495.31","  240.93","  31.80","2015","413395"
"611","Financial specialists, all other",88,"40.5","13-2099","    0.97","    9.86","   14.52","    6.78","   36.43","   17.25","   2.29","2015","13-209"
"612","Firefighters",300.5,"40.1","33-2011","    2.10","   45.38","  121.70","   64.91","   59.20","    6.31","   1.20","2015","33-201"
"613","First-line supervisors of construction trades and extraction workers",632.5,"46.2","47-1011","   91.71","  261.22","  160.66","   44.91","   61.98","   10.12","   2.53","2015","47-101"
"614","First-line supervisors of correctional officers",41,"–","33-1011","    0.41","   10.74","   13.73","    5.78","    8.12","    2.01","   0.29","2015","33-101"
"615","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","   15.04","   15.78","    7.64","    2.89","    6.22","    1.13","   0.20","2015","45-101"
"616","First-line supervisors of fire fighting and prevention workers",61,"45.6","33-1021","    0.24","    8.36","   22.20","   13.18","   13.30","    3.23","   0.43","2015","33-102"
"617","First-line supervisors of housekeeping and janitorial workers",299.5,"48.6","37-1011","   45.22","  113.81","   74.28","   25.46","   32.35","    6.59","   1.80","2015","37-101"
"618","First-line supervisors of mechanics, installers, and repairers",279,"48.1","49-1011","   18.14","   97.65","   84.82","   36.83","   34.04","    6.42","   1.12","2015","49-101"
"619","First-line supervisors of office and administrative support workers",1389.5,"45.7","43-1011","   37.52","  308.47","  398.79","  161.18","  358.49","  105.60","  19.45","2015","43-101"
"620","First-line supervisors of personal service workers",237,"44.7","39-1021","   10.67","   62.33","   74.18","   30.34","   50.01","    7.82","   1.42","2015","39-102"
"621","First-line supervisors of production and operating workers",769.5,"47.2","51-1011","   78.49","  290.87","  203.15","   69.25","   98.50","   23.85","   5.39","2015","51-101"
"622","First-line supervisors of protective service workers, all other",96.5,"47","33-1099","    1.54","   22.68","   28.37","   10.90","   21.71","   10.04","   1.35","2015","33-109"
"623","First-line supervisors of retail sales workers",3230,"43","41-1011","  187.34","  943.16","  933.47","  313.31","  697.68","  122.74","  32.30","2015","41-101"
"624","Flight attendants",88.5,"49.4","53-2031","    1.24","   10.71","   29.91","   12.21","   29.12","    4.07","   1.33","2015","53-203"
"625","Food and tobacco roasting, baking, and drying machine operators and tenders",10.5,"–","51-3091","    2.39","    4.00","    2.72","    0.41","    0.81","    0.10","   0.06","2015","51-309"
"626","Food preparation workers",876.5,"27.8","35-2021","  237.53","  321.68","  185.82","   52.59","   65.74","   10.52","   2.63","2015","35-202"
"627","Food servers, nonrestaurant",223,"33.200000000000003","35-3041","   35.01","   96.78","   52.18","   16.50","   18.96","    2.68","   0.67","2015","35-304"
"628","Food service managers",1081,"40","2612155","   95.13","  309.17","  301.60","  102.70","  229.17","   36.75","   6.49","2015","261215"
"629","Forest and conservation workers",13.5,"–","45-4011","    3.48","    3.46","    2.16","    1.57","    2.50","    0.30","   0.07","2015","45-401"
"630","Fundraisers",83.5,"42.9","13-1131","    0.42","    2.59","    6.76","    2.92","   44.92","   22.13","   3.76","2015","13-113"
"631","Furnace, kiln, oven, drier, and kettle operators and tenders",15.5,"–","51-9051","    4.03","    6.84","    3.10","    0.73","    0.79","    0.00","   0.02","2015","51-905"
"632","Furniture finishers",7,"–","51-7021","    1.83","    2.85","    1.41","    0.25","    0.52","    0.13","   0.00","2015","51-702"
"633","Gaming cage workers",11,"–","43-3041","    1.01","    4.30","    3.05","    0.95","    1.60","    0.11","   0.00","2015","43-304"
"634","Gaming managers",21.5,"–","2619460","    0.77","    5.25","    7.03","    2.47","    4.62","    1.14","   0.19","2015","261946"
"635","General and operations managers",1069.5,"45.6","11-1021","   24.60","  182.88","  277.00","  104.81","  347.59","  116.58","  16.04","2015","11-102"
"636","Glaziers",41.5,"–","47-2121","    8.51","   20.21","    9.05","    2.24","    1.29","    0.21","   0.00","2015","47-212"
"637","Graders and sorters, agricultural products",106,"42.4","45-2041","   58.09","   30.63","    9.43","    3.07","    4.13","    0.11","   0.53","2015","45-204"
"638","Hazardous materials removal workers",35,"–","47-4041","    8.33","   12.98","    8.02","    2.17","    2.52","    0.88","   0.10","2015","47-404"
"639","Health diagnosing and treating practitioners, all other",24,"–","29-1199","    0.29","    0.67","    1.75","    0.77","    4.63","    9.24","   6.67","2015","29-119"
"640","Heating, air conditioning, and refrigeration mechanics and installers",362,"41.1","49-9021","   39.46","  144.80","  107.51","   50.68","   16.65","    2.17","   0.72","2015","49-902"
"641","Highway maintenance workers",102.5,"48.1","47-4051","   12.92","   59.55","   19.48","    5.95","    3.69","    1.02","   0.00","2015","47-405"
"642","Home appliance repairers",49.5,"48.2","49-9031","    5.94","   19.80","   14.55","    6.09","    2.48","    0.50","   0.10","2015","49-903"
"643","Hosts and hostesses, restaurant, lounge, and coffee shop",279.5,"21.8","35-9031","   31.86","  104.53","   72.67","   18.73","   41.65","    8.11","   1.96","2015","35-903"
"644","Hotel, motel, and resort desk clerks",111,"30.1","43-4081","    6.99","   30.08","   39.52","   12.32","   18.76","    2.89","   0.56","2015","43-408"
"645","Human resources assistants, except payroll and timekeeping",132.5,"42.6","43-4161","    2.25","   28.89","   49.82","   15.24","   26.90","    9.01","   0.40","2015","43-416"
"646","Human resources managers",221.5,"44.3","446267","    5.32","   25.92","   39.87","   19.05","   82.18","   43.19","   5.98","2015","446267"
"647","Industrial production managers",258.5,"47.6","420700","   10.86","   52.48","   56.09","   19.65","   83.75","   32.83","   2.84","2015","420700"
"648","Industrial truck and tractor operators",547,"40","53-7051","  120.34","  279.52","  107.76","   22.43","   14.77","    1.64","   0.00","2015","53-705"
"649","Information and record clerks, all other",103.5,"44.2","43-4199","    2.28","   20.08","   33.33","   17.28","   22.98","    6.11","   1.55","2015","43-419"
"650","Inspectors, testers, sorters, samplers, and weighers",687.5,"43.8","51-9061","   73.56","  249.56","  181.50","   68.75","   90.06","   19.25","   4.12","2015","51-906"
"651","Insurance claims and policy processing clerks",258.5,"41.5","43-9041","    4.14","   63.59","   87.89","   31.54","   61.26","    8.53","   1.55","2015","43-904"
"652","Insurance sales agents",571,"45.6","41-3021","    8.56","   82.22","  154.17","   57.10","  219.26","   39.97","   9.14","2015","41-302"
"653","Interviewers, except eligibility and loan",140.5,"42.2","43-4111","    3.23","   30.21","   47.91","   20.23","   27.40","    9.13","   2.39","2015","43-411"
"654","Jewelers and precious stone and metal workers",50,"48.6","51-9071","    9.05","   15.30","   11.15","    3.35","    9.55","    1.10","   0.55","2015","51-907"
"655","Laundry and dry-cleaning workers",176,"43.2","51-6011","   57.90","   73.04","   28.34","    6.69","    8.27","    1.41","   0.35","2015","51-601"
"656","Librarians",187.5,"50.5","25-4021","    0.75","    3.56","   15.37","    9.38","   44.62","  105.19","   9.00","2015","25-402"
"657","Library assistants, clerical",92,"39.4","43-4121","    1.47","   16.47","   24.66","   10.67","   28.06","    8.92","   1.66","2015","43-412"
"658","Library technicians",42,"–","25-4031","    1.09","   15.46","    7.73","    3.28","    9.74","    4.54","   0.21","2015","25-403"
"659","Licensed practical and licensed vocational nurses",544.5,"43.8","29-2061","    8.17","  122.51","  294.03","   94.20","   20.69","    3.27","   2.18","2015","29-206"
"660","Loan interviewers and clerks",156,"39.9","43-4131","    3.12","   40.40","   54.60","   19.03","   32.76","    5.46","   0.47","2015","43-413"
"661","Lodging managers",148.5,"47.1","2623113","    4.46","   28.07","   37.27","   15.00","   48.41","   13.22","   1.93","2015","262311"
"662","Logisticians",91,"46.1","13-1081","    1.18","   13.20","   25.21","   11.56","   31.12","    7.92","   0.73","2015","13-108"
"663","Machinists",397.5,"46.2","51-4041","   42.53","  180.07","  110.90","   47.30","   15.11","    1.19","   0.40","2015","51-404"
"664","Mail clerks and mail machine operators, except postal service",78,"50","43-9051","    5.62","   33.07","   23.17","    6.86","    7.72","    1.33","   0.23","2015","43-905"
"665","Maintenance and repair workers, general",452,"47.9","49-9071","   63.28","  183.06","  122.49","   47.46","   29.38","    4.97","   0.90","2015","49-907"
"666","Management analysts",792,"47.2","13-1111","    5.54","   38.81","   95.83","   41.18","  333.43","  224.93","  53.06","2015","13-111"
"667","Marine engineers and naval architects",9.5,"–","17-2121","    0.17","    0.85","    1.03","    0.71","    4.59","    1.87","   0.29","2015","17-212"
"668","Market research analysts and marketing specialists",230,"38.5","13-1161","    2.07","    9.66","   23.00","   10.35","  124.43","   53.82","   6.67","2015","13-116"
"669","Massage therapists",165,"41.8","31-9011","    4.79","   30.69","   58.08","   28.22","   33.00","    6.60","   3.63","2015","31-901"
"670","Materials engineers",43,"–","17-2131","    0.30","    2.28","    5.63","    4.04","   19.52","    7.83","   3.44","2015","17-213"
"671","Mechanical engineers",307.5,"42.4","17-2141","    1.84","   14.14","   29.21","   28.60","  158.67","   64.27","  10.46","2015","17-214"
"672","Medical and health services managers",585,"48.3","2634069","    7.02","   48.55","   91.26","   66.11","  188.37","  136.89","  47.38","2015","263406"
"673","Medical records and health information technicians",89,"49.8","29-2071","    1.25","   18.87","   29.37","   20.47","   15.58","    2.76","   0.80","2015","29-207"
"674","Meeting, convention, and event planners",128.5,"37.6","13-1121","    1.54","   12.72","   25.31","    9.77","   64.51","   13.88","   0.77","2015","13-112"
"675","Meter readers, utilities",29,"–","43-5041","    0.93","   12.44","    9.69","    2.44","    3.19","    0.32","   0.00","2015","43-504"
"676","Morticians, undertakers, and funeral directors",38.5,"–","39-4031","    0.46","    3.66","    7.74","   13.09","   11.24","    1.16","   1.16","2015","39-403"
"677","Motion picture projectionists",3.5,"–","39-3021","    0.10","    0.75","    1.05","    0.52","    0.80","    0.29","   0.00","2015","39-302"
"678","Motor vehicle operators, all other",68.5,"59.3","53-3099","    7.74","   29.87","   15.96","    6.23","    7.06","    1.16","   0.55","2015","53-309"
"679","Natural sciences managers",16,"–","2637722","    0.13","    0.26","    0.50","    0.46","    5.90","    5.07","   3.66","2015","263772"
"680","New accounts clerks",25.5,"–","43-4141","    0.38","    5.18","    9.08","    3.01","    7.04","    0.59","   0.23","2015","43-414"
"681","Nonfarm animal caretakers",177,"32.1","39-2021","   15.22","   62.84","   47.44","   16.99","   28.32","    4.96","   1.24","2015","39-202"
"682","Nurse anesthetists",25.5,"–","29-1151","    0.00","    0.00","    0.00","    0.00","    3.67","   18.33","   3.49","2015","29-115"
"683","Occupational therapists",115,"40.700000000000003","29-1122","    0.23","    1.15","    1.03","    6.79","   47.38","   51.98","   6.44","2015","29-112"
"684","Office clerks, general",1143.5,"42.7","43-9061","   42.31","  345.34","  362.49","  144.08","  203.54","   37.74","   8.00","2015","43-906"
"685","Office machine operators, except computer",43.5,"–","43-9071","    3.00","   14.01","   13.57","    5.74","    6.31","    0.83","   0.00","2015","43-907"
"686","Operations research analysts",129,"44.8","15-2031","    0.77","    7.87","   19.35","    9.16","   51.21","   35.35","   5.29","2015","15-203"
"687","Opticians, dispensing",50.5,"–","29-2081","    1.21","   13.13","   17.02","    8.79","    8.89","    0.91","   0.50","2015","29-208"
"688","Optometrists",37,"–","29-1041","    0.00","    0.00","    0.00","    0.00","    0.00","    0.67","  36.33","2015","29-104"
"689","Packaging and filling machine operators and tenders",282.5,"39.9","51-9111","   98.03","  118.93","   42.09","   10.73","   10.45","    1.41","   0.85","2015","51-911"
"690","Paralegals and legal assistants",411,"42","23-2011","    3.70","   39.46","  101.11","   83.43","  144.67","   25.48","  12.74","2015","23-201"
"691","Parking lot attendants",84.5,"28.3","53-6021","   13.60","   30.76","   21.46","    6.25","   10.65","    1.52","   0.25","2015","53-602"
"692","Paving, surfacing, and tamping equipment operators",22.5,"–","47-2071","    6.88","   12.49","    2.52","    0.47","    0.14","    0.00","   0.00","2015","47-207"
"693","Payroll and timekeeping clerks",155.5,"47.6","43-3051","    3.11","   40.59","   55.82","   21.77","   29.39","    4.20","   0.62","2015","43-305"
"694","Personal care aides",1156.5,"44.2","39-9021","  190.82","  400.15","  312.25","   99.46","  120.28","   26.60","   6.94","2015","39-902"
"695","Personal care and service workers, all other",100,"35.299999999999997","39-9099","    8.70","   28.80","   27.30","    8.30","   20.50","    5.60","   0.80","2015","39-909"
"696","Pest control workers",75,"42.9","37-2021","    5.85","   31.80","   22.05","    6.30","    8.03","    0.82","   0.15","2015","37-202"
"697","Pharmacists",281.5,"42.7","29-1051","    0.00","    0.00","    3.94","    2.53","   99.65","   16.89"," 158.48","2015","29-105"
"698","Photographers",179,"40.1","27-4021","    3.40","   19.33","   43.68","   20.94","   74.82","   14.68","   2.15","2015","27-402"
"699","Photographic process workers and processing machine operators",49,"–","51-9151","    1.57","   15.73","   14.06","    4.46","   11.56","    1.27","   0.39","2015","51-915"
"700","Physical scientists, all other",156,"43.2","19-2099","    0.00","    0.00","    0.00","    0.00","   41.50","   35.41","  79.09","2015","19-209"
"701","Physician assistants",118.5,"39.200000000000003","29-1071","    0.24","    1.19","    3.08","    5.45","   21.33","   68.37","  18.84","2015","29-107"
"702","Plasterers and stucco masons",22.5,"–","47-2161","   11.16","    8.12","    2.07","    0.40","    0.68","    0.04","   0.02","2015","47-216"
"703","Podiatrists",10.5,"–","29-1081","    0.00","    0.00","    0.00","    0.00","    0.00","    0.09","  10.41","2015","29-108"
"704","Postal service clerks",124,"52.1","43-5051","    3.72","   37.32","   47.37","   14.01","   19.22","    1.98","   0.25","2015","43-505"
"705","Prepress technicians and workers",31,"–","51-5111","    2.70","   10.08","    8.68","    4.65","    4.12","    0.68","   0.06","2015","51-511"
"706","Pressers, textile, garment, and related materials",54.5,"45.7","51-6021","   24.69","   19.62","    6.81","    1.64","    1.64","    0.05","   0.00","2015","51-602"
"707","Private detectives and investigators",94.5,"43.5","33-9021","    0.57","    7.94","   20.79","    7.94","   41.20","   12.95","   3.21","2015","33-902"
"708","Procurement clerks",27,"–","43-3061","    0.22","    5.75","    7.67","    3.08","    7.26","    2.73","   0.30","2015","43-306"
"709","Production, planning, and expediting clerks",277,"46.1","43-5061","    7.20","   62.60","   82.55","   34.35","   67.86","   20.50","   1.94","2015","43-506"
"710","Proofreaders and copy markers",8.5,"–","43-9081","    0.05","    1.13","    1.69","    0.43","    3.61","    1.30","   0.28","2015","43-908"
"711","Property, real estate, and community association managers",649,"50.8","2645027","   27.26","  123.31","  166.14","   60.36","  197.94","   58.41","  15.58","2015","264502"
"712","Public relations and fundraising managers",56.5,"41.1","48153","    0.28","    1.13","    5.20","    1.64","   33.11","   13.45","   1.64","2015","48153"
"713","Public relations specialists",152,"37.4","27-3031","    1.22","    4.56","   14.59","    6.99","   86.94","   31.16","   6.69","2015","27-303"
"714","Purchasing managers",201,"47.5","424353","    1.61","   21.11","   38.99","   15.88","   80.20","   38.59","   4.82","2015","424353"
"715","Rail-track laying and maintenance equipment operators",11.5,"–","47-4061","    0.71","    6.26","    3.67","    0.54","    0.31","    0.00","   0.00","2015","47-406"
"716","Railroad conductors and yardmasters",51,"39","53-4031","    0.46","   18.16","   19.02","    5.56","    6.99","    0.46","   0.36","2015","53-403"
"717","Receptionists and information clerks",1281.5,"37.6","43-4171","   51.26","  420.33","  434.43","  157.62","  179.41","   33.32","   3.84","2015","43-417"
"718","Refuse and recyclable material collectors",107,"41.1","53-7081","   29.75","   50.40","   17.98","    5.24","    3.10","    0.43","   0.11","2015","53-708"
"719","Registered nurses",2883.5,"44.2","29-1141","    8.65","   34.60","  158.59","  977.51"," 1386.96","  259.51","  57.67","2015","29-114"
"720","Religious workers, all other",71.5,"47.1","21-2099","    1.72","    9.51","   13.80","    5.93","   23.59","   12.58","   4.36","2015","21-209"
"721","Reservation and transportation ticket agents and travel clerks",118,"44.2","43-4181","    2.36","   26.31","   41.06","   13.45","   29.85","    4.37","   0.59","2015","43-418"
"722","Residential advisors",49,"–","39-9041","    2.25","    8.72","   14.95","    5.88","   11.56","    4.51","   1.08","2015","39-904"
"723","Retail salespersons",3285.5,"34.700000000000003","41-2031","  223.41","  965.94","  936.37","  331.84","  683.38","  124.85","  23.00","2015","41-203"
"724","Roofers",199.5,"37.299999999999997","47-2181","   92.97","   74.41","   23.34","    3.79","    4.59","    0.20","   0.20","2015","47-218"
"725","Sales engineers",31.5,"–","41-9031","    0.19","    1.29","    4.47","    3.31","   17.20","    4.82","   0.19","2015","41-903"
"726","Sales representatives, services, all other",444.5,"42.1","41-3099","    8.89","   62.67","  107.57","   35.12","  188.47","   37.78","   4.00","2015","41-309"
"727","Sawing machine setters, operators, and tenders, wood",31.5,"–","51-7041","    9.36","   15.62","    4.44","    1.35","    0.66","    0.00","   0.00","2015","51-704"
"728","Securities, commodities, and financial services sales agents",279,"41.7","41-3031","    2.79","   19.81","   43.80","   16.74","  138.94","   49.38","   7.25","2015","41-303"
"729","Sewing machine operators",162,"48","51-6031","   68.20","   57.19","   20.25","    7.45","    7.78","    0.97","   0.16","2015","51-603"
"730","Sheet metal workers",118,"43.2","47-2211","   17.82","   55.22","   30.68","    9.20","    4.48","    0.71","   0.00","2015","47-221"
"731","Shipping, receiving, and traffic clerks",545,"41.1","43-5071","   68.67","  249.61","  138.43","   41.97","   39.79","    5.45","   1.09","2015","43-507"
"732","Social and community service managers",323.5,"47.5","2648679","    2.91","   25.23","   48.20","   18.76","  121.96","   89.61","  17.47","2015","264867"
"733","Stationary engineers and boiler operators",106,"48.6","51-8021","    6.47","   41.55","   33.60","   11.24","   10.71","    1.80","   0.64","2015","51-802"
"734","Statistical assistants",28,"–","43-9111","    0.87","    6.41","    7.73","    3.22","    7.36","    1.90","   0.50","2015","43-911"
"735","Stock clerks and order fillers",1480.5,"35.200000000000003","43-5081","  186.54","  651.42","  377.53","  109.56","  131.76","   19.25","   4.44","2015","43-508"
"736","Structural iron and steel workers",57,"–","47-2221","    9.18","   27.47","   14.25","    3.48","    2.45","    0.06","   0.11","2015","47-222"
"737","Structural metal fabricators and fitters",24,"–","51-2041","    3.65","   10.73","    6.19","    2.21","    1.10","    0.10","   0.02","2015","51-204"
"738","Surveying and mapping technicians",65.5,"44.7","17-3031","    4.19","   17.10","   24.63","   14.02","    4.98","    0.46","   0.07","2015","17-303"
"739","Switchboard operators, including answering service",33.5,"–","43-2011","    1.24","   13.03","   11.62","    3.58","    3.38","    0.37","   0.23","2015","43-201"
"740","Tax examiners and collectors, and revenue agents",71,"45.6","13-2081","    0.99","   11.50","   17.18","    6.18","   26.34","    7.95","   0.85","2015","13-208"
"741","Taxi drivers and chauffeurs",337,"49.2","53-3041","   48.87","  122.67","   79.87","   25.95","   45.16","   11.80","   2.36","2015","53-304"
"742","Teacher assistants",908,"44.8","25-9041","   38.14","  269.68","  246.98","  125.30","  184.32","   38.14","   5.45","2015","25-904"
"743","Telemarketers",95,"31.3","41-9041","    5.51","   28.31","   34.39","   10.73","   12.54","    3.33","   0.19","2015","41-904"
"744","Telephone operators",35.5,"–","43-2021","    1.21","   11.18","   14.66","    3.16","    4.22","    0.75","   0.36","2015","43-202"
"745","Tellers",374.5,"30.9","43-3071","    7.12","  129.20","  133.32","   40.07","   56.55","    6.74","   1.87","2015","43-307"
"746","Tool and die makers",54.5,"51.1","51-4111","    3.54","   22.78","   17.55","    8.56","    1.69","    0.22","   0.11","2015","51-411"
"747","Total, all occupations",143199,"42.4","00-0000","12458.31","34654.16","30501.39","13460.71","32219.78","13890.30","6014.36","2015","00-000"
"748","Training and development managers",35,"–","449919","    0.28","    2.77","    5.78","    2.73","   14.07","    7.70","   1.68","2015","449919"
"749","Training and development specialists",122.5,"42.5","13-1151","    2.08","   12.98","   27.69","   12.62","   43.12","   21.56","   2.33","2015","13-115"
"750","Transportation attendants, except flight attendants",37.5,"–","53-6061","    4.35","   14.70","   11.47","    2.36","    3.90","    0.56","   0.15","2015","53-606"
"751","Transportation inspectors",40.5,"–","53-6051","    2.47","   13.81","   11.79","    6.28","    4.66","    1.30","   0.20","2015","53-605"
"752","Transportation, storage, and distribution managers",275.5,"45.8","428005","   13.50","   81.82","   80.45","   19.84","   60.61","   17.91","   1.10","2015","428005"
"753","Travel agents",75,"53.2","41-3041","    0.98","   12.97","   24.82","   10.72","   20.25","    4.58","   0.68","2015","41-304"
"754","Urban and regional planners",24,"–","19-3051","    0.34","    0.24","    1.54","    0.60","    9.26","   10.94","   1.08","2015","19-305"
"755","Ushers, lobby attendants, and ticket takers",41,"–","39-3031","    3.24","   13.20","   10.17","    3.85","    7.58","    2.50","   0.49","2015","39-303"
"756","Veterinarians",86,"46.8","29-1131","    0.00","    0.00","    0.00","    0.00","    0.00","    1.55","  84.45","2015","29-113"
"757","Waiters and waitresses",2124,"26.2","35-3031","  278.24","  696.67","  620.21","  193.28","  290.99","   38.23","   6.37","2015","35-303"
"758","Water and wastewater treatment plant and system operators",70,"49.8","51-8031","    2.73","   26.74","   23.45","    8.89","    6.93","    0.91","   0.35","2015","51-803"
"759","Weighers, measurers, checkers, and samplers, recordkeeping",79,"46.5","43-5111","   11.14","   27.89","   19.04","    7.43","   10.82","    2.37","   0.32","2015","43-511"
