"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"1900","Multimedia artists and animators","27-1014",2.7,10.3,20.9,9.2,43.4,11.8,1.7,"2010"
"1901","Artists and related workers, all other","27-1019",2.7,10.3,20.9,9.2,43.4,11.8,1.7,"2010"
"1902","Commercial and industrial designers","27-1021",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1903","Fashion designers","27-1022",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1904","Floral designers","27-1023",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1905","Graphic designers","27-1024",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1906","Interior designers","27-1025",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1907","Merchandise displayers and window trimmers","27-1026",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1908","Set and exhibit designers","27-1027",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1909","Designers, all other","27-1029",2.3,10.8,17.9,13.3,46.4,8,1.2,"2010"
"1910","Actors","27-2011",0.9,14.7,22.7,4.6,46.4,9.6,1.1,"2010"
"1911","Producers and directors","27-2012",0.6,4.9,14.8,5.5,58.1,13.9,2.3,"2010"
"1912","Athletes and sports competitors","27-2021",2.8,10.2,19.3,7.7,42.8,15.5,1.8,"2010"
"1913","Coaches and scouts","27-2022",2.8,10.2,19.3,7.7,42.8,15.5,1.8,"2010"
"1914","Umpires, referees, and other sports officials","27-2023",2.8,10.2,19.3,7.7,42.8,15.5,1.8,"2010"
"1915","Dancers","27-2031",11,28,26.9,10,19.8,4.3,0,"2010"
"1916","Choreographers","27-2032",11,28,26.9,10,19.8,4.3,0,"2010"
"1917","Music directors and composers","27-2041",3.6,14.1,22.6,5.6,31.1,18.9,4.2,"2010"
"1918","Musicians and singers","27-2042",3.6,14.1,22.6,5.6,31.1,18.9,4.2,"2010"
"1919","Entertainers and performers, sports and related workers, all other","27-2099",3.9,22.2,26.4,7.1,31.7,7.2,1.4,"2010"
"1920","Radio and television announcers","27-3011",3.2,19.2,31.3,7.2,33.2,4.8,1.1,"2010"
"1921","Public address system and other announcers","27-3012",3.2,19.2,31.3,7.2,33.2,4.8,1.1,"2010"
"1922","Broadcast news analysts","27-3021",0.2,2.2,9.8,3.5,62.8,19,2.4,"2010"
"1923","Reporters and correspondents","27-3022",0.2,2.2,9.8,3.5,62.8,19,2.4,"2010"
"1924","Public relations specialists","27-3031",0.5,4.6,10.9,4.2,55.1,20.1,4.7,"2010"
"1925","Editors","27-3041",0.5,2.6,9.1,3.9,57.5,20.5,5.8,"2010"
"1926","Technical writers","27-3042",0.4,6.2,12.3,7.3,47.6,20.2,6.1,"2010"
"1927","Writers and authors","27-3043",0.5,2.8,8.5,2.8,51.1,26.8,7.4,"2010"
"1928","Interpreters and translators","27-3091",2.1,11,23.5,13.2,30.8,15,4.3,"2010"
"1929","Media and communication workers, all other","27-3099",2.1,11,23.5,13.2,30.8,15,4.3,"2010"
"1930","Audio and video equipment technicians","27-4011",2.5,17.2,29.9,13.5,32.1,4.4,0.4,"2010"
"1931","Broadcast technicians","27-4012",2.5,17.2,29.9,13.5,32.1,4.4,0.4,"2010"
"1932","Radio operators","27-4013",2.5,17.2,29.9,13.5,32.1,4.4,0.4,"2010"
"1933","Sound engineering technicians","27-4014",2.5,17.2,29.9,13.5,32.1,4.4,0.4,"2010"
"1934","Photographers","27-4021",1.8,13.3,26.6,10.7,40.9,5.8,0.8,"2010"
"1935","Camera operators, television, video, and motion picture","27-4031",2.4,9.8,19.5,6.9,52.2,7.9,1.3,"2010"
"1936","Film and video editors","27-4032",2.4,9.8,19.5,6.9,52.2,7.9,1.3,"2010"
"1937","Media and communication equipment workers, all other","27-4099",2.5,17.2,29.9,13.5,32.1,4.4,0.4,"2010"
"1938","Chiropractors","29-1011",0,0.5,0.7,0.8,3.1,2.3,92.6,"2010"
"1939","Dentists, general","29-1021",0,0.1,0.3,0.1,1.4,2.4,95.6,"2010"
"1940","Oral and maxillofacial surgeons","29-1022",0,0.1,0.3,0.1,1.4,2.4,95.6,"2010"
"1941","Orthodontists","29-1023",0,0.1,0.3,0.1,1.4,2.4,95.6,"2010"
"1942","Prosthodontists","29-1024",0,0.1,0.3,0.1,1.4,2.4,95.6,"2010"
"1943","Dentists, all other specialists","29-1029",0,0.1,0.3,0.1,1.4,2.4,95.6,"2010"
"1944","Dietitians and nutritionists","29-1031",3,11.2,7,3.8,40.1,27.6,7.3,"2010"
"1945","Optometrists","29-1041",0,0.1,0.1,0.5,2,1.3,96.1,"2010"
"1946","Pharmacists","29-1051",0.1,0.2,0.9,0.7,41.7,5.6,50.8,"2010"
"1947","Anesthesiologists","29-1061",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1948","Family and general practitioners","29-1062",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1949","Internists, general","29-1063",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1950","Obstetricians and gynecologists","29-1064",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1951","Pediatricians, general","29-1065",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1952","Psychiatrists","29-1066",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1953","Surgeons","29-1067",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1954","Physicians and surgeons, all other","29-1069",0.1,0.2,0.2,0.3,1.7,2.9,94.6,"2010"
"1955","Physician assistants","29-1071",1,3.2,9.7,11.8,27.1,33.4,13.8,"2010"
"1956","Podiatrists","29-1081",0,0,0,0,0.6,2,97.3,"2010"
"1957","Occupational therapists","29-1122",0,0.4,0.7,8.5,49.1,36.2,5.1,"2010"
"1958","Physical therapists","29-1123",0.4,0.9,1.5,6.1,38.2,29.9,23.1,"2010"
"1959","Radiation therapists","29-1124",0,3.1,10.1,43,37,3.7,3.1,"2010"
"1960","Recreational therapists","29-1125",2.9,9.1,10.6,7.1,55,14.9,0.5,"2010"
"1961","Respiratory therapists","29-1126",0.2,1.7,14,55.2,24.9,2.6,1.4,"2010"
"1962","Speech-language pathologists","29-1127",0.1,0.3,0.3,0.2,9.5,86.5,3.2,"2010"
"1963","Exercise physiologists","29-1128",0.5,2.4,5.1,7,25.9,52.4,6.7,"2010"
"1964","Therapists, all other","29-1129",0.5,2.4,5.1,7,25.9,52.4,6.7,"2010"
"1965","Veterinarians","29-1131",0.5,0.8,0,0.3,1.6,1.9,95,"2010"
"1966","Registered nurses","29-1141",0.2,1,5.2,38.1,46,7.7,1.8,"2010"
"1967","Nurse anesthetists","29-1151",0.3,0.5,4.5,4.1,14.9,64.2,11.5,"2010"
"1968","Nurse midwives","29-1161",0.3,0.3,0.6,2,6.4,77.8,12.7,"2010"
"1969","Nurse practitioners","29-1171",0.3,0.3,0.6,2,6.4,77.8,12.7,"2010"
"1970","Audiologists","29-1181",0,2,0,0.4,7.7,35.1,54.8,"2010"
"1971","Health diagnosing and treating practitioners, all other","29-1199",0.8,2.7,6.6,2.7,12.9,45.5,28.7,"2010"
"1972","Medical and clinical laboratory technologists","29-2011",1,10.9,18.6,17.1,44.1,5.5,2.7,"2010"
"1973","Medical and clinical laboratory technicians","29-2012",1,10.9,18.6,17.1,44.1,5.5,2.7,"2010"
"1974","Dental hygienists","29-2021",0.1,2.9,6.3,54.8,32.4,1.8,1.8,"2010"
"1975","Cardiovascular technologists and technicians","29-2031",0.7,8.6,21.9,45.5,19.7,2.4,1.3,"2010"
"1976","Diagnostic medical sonographers","29-2032",0.7,8.6,21.9,45.5,19.7,2.4,1.3,"2010"
"1977","Nuclear medicine technologists","29-2033",0.7,8.6,21.9,45.5,19.7,2.4,1.3,"2010"
"1978","Radiologic technologists","29-2034",0.7,8.6,21.9,45.5,19.7,2.4,1.3,"2010"
"1979","Magnetic resonance imaging technologists","29-2035",0.7,8.6,21.9,45.5,19.7,2.4,1.3,"2010"
"1980","Emergency medical technicians and paramedics","29-2041",0.9,14.7,49.4,19.7,12.9,2.1,0.3,"2010"
"1981","Dietetic technicians","29-2051",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1982","Pharmacy technicians","29-2052",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1983","Psychiatric technicians","29-2053",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1984","Respiratory therapy technicians","29-2054",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1985","Surgical technologists","29-2055",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1986","Veterinary technologists and technicians","29-2056",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1987","Ophthalmic medical technicians","29-2057",2,25.3,34.4,20,15.9,1.6,0.8,"2010"
"1988","Licensed practical and licensed vocational nurses","29-2061",1,18.7,58.2,17.4,3.7,0.7,0.3,"2010"
"1989","Medical records and health information technicians","29-2071",2.1,27.4,36,15.5,15.8,2.6,0.8,"2010"
"1990","Opticians, dispensing","29-2081",2.9,27.2,33.4,19.3,13.9,1.8,1.5,"2010"
"1991","Orthotists and prosthetists","29-2091",1.9,20.1,33.7,13.3,19.9,5.9,5.1,"2010"
"1992","Hearing aid specialists","29-2092",1.9,20.1,33.7,13.3,19.9,5.9,5.1,"2010"
"1993","Health technologists and technicians, all other","29-2099",1.9,20.1,33.7,13.3,19.9,5.9,5.1,"2010"
"1994","Occupational health and safety specialists","29-9011",1.5,11.5,18.6,8.7,36.5,20.2,2.9,"2010"
"1995","Occupational health and safety technicians","29-9012",1.5,11.5,18.6,8.7,36.5,20.2,2.9,"2010"
"1996","Athletic trainers","29-9091",1.5,11.5,18.6,8.7,36.5,20.2,2.9,"2010"
"1997","Genetic counselors","29-9092",1.5,11.5,18.6,8.7,36.5,20.2,2.9,"2010"
"1998","Healthcare practitioners and technical workers, all other","29-9099",1.5,11.5,18.6,8.7,36.5,20.2,2.9,"2010"
"1999","Home health aides","31-1011",13.8,37,31.7,8.2,7,1.4,0.9,"2010"
"2000","Psychiatric aides","31-1013",13.8,37,31.7,8.2,7,1.4,0.9,"2010"
"2001","Nursing assistants","31-1014",13.8,37,31.7,8.2,7,1.4,0.9,"2010"
"2002","Orderlies","31-1015",13.8,37,31.7,8.2,7,1.4,0.9,"2010"
"2003","Occupational therapy assistants","31-2011",0.2,4.8,9.1,70.4,9.9,5,0.5,"2010"
"2004","Occupational therapy aides","31-2012",0.2,4.8,9.1,70.4,9.9,5,0.5,"2010"
"2005","Physical therapist assistants","31-2021",1.7,11.4,15.3,51.1,17.1,2,1.5,"2010"
"2006","Physical therapist aides","31-2022",1.7,11.4,15.3,51.1,17.1,2,1.5,"2010"
"2007","Massage therapists","31-9011",1.8,18.6,37.7,15.8,20.3,3.7,2.2,"2010"
"2008","Dental assistants","31-9091",3,30.1,41.6,16.1,6.6,0.4,2.1,"2010"
"2009","Medical assistants","31-9092",2.4,23.3,42.9,22,7.2,1.4,0.8,"2010"
"2010","Medical equipment preparers","31-9093",11,37.5,28.3,10.6,9.5,2.6,0.6,"2010"
"2011","Medical transcriptionists","31-9094",0.3,20.2,39.8,23.6,13.2,2.7,0.2,"2010"
"2012","Pharmacy aides","31-9095",2.8,29.1,32.5,9.8,21.7,1.7,2.4,"2010"
"2013","Veterinary assistants and laboratory animal caretakers","31-9096",5.6,32.6,27.4,15.8,16.5,1.6,0.5,"2010"
"2014","Phlebotomists","31-9097",1.1,26.1,49.5,13.5,8.3,0.9,0.6,"2010"
"2015","Healthcare support workers, all other","31-9099",11,37.5,28.3,10.6,9.5,2.6,0.6,"2010"
"2016","First-line supervisors of correctional officers","33-1011",0.9,24.5,32.4,13.1,21.5,6.5,1.1,"2010"
"2017","First-line supervisors of police and detectives","33-1012",0.3,11.4,32.2,15,29.8,9.8,1.4,"2010"
"2018","First-line supervisors of fire fighting and prevention workers","33-1021",0.4,12.7,39.8,23.6,18.7,4.1,0.6,"2010"
"2019","First-line supervisors of protective service workers, all other","33-1099",3.1,21.6,33.9,12.3,20.8,6.7,1.6,"2010"
"2020","Firefighters","33-2011",0.6,16.4,42.1,20.2,18.8,1.7,0.2,"2010"
"2021","Fire inspectors and investigators","33-2021",0.7,17.1,35,18.3,22.7,5.2,0.9,"2010"
"2022","Forest fire inspectors and prevention specialists","33-2022",0.7,17.1,35,18.3,22.7,5.2,0.9,"2010"
"2023","Bailiffs","33-3011",1,31.9,39.8,12.9,12.7,1.3,0.3,"2010"
"2024","Correctional officers and jailers","33-3012",1,31.9,39.8,12.9,12.7,1.3,0.3,"2010"
"2025","Detectives and criminal investigators","33-3021",0.6,8.1,24.3,13.3,40.9,10.8,2.2,"2010"
"2026","Fish and game wardens","33-3031",2.8,26.5,26.2,15.2,25.5,2.9,0.9,"2010"
"2027","Parking enforcement workers","33-3041",2.8,26.5,26.2,15.2,25.5,2.9,0.9,"2010"
"2028","Police and sheriff's patrol officers","33-3051",0.4,13.5,35.4,17.1,28.7,4.2,0.6,"2010"
"2029","Transit and railroad police","33-3052",0.4,13.5,35.4,17.1,28.7,4.2,0.6,"2010"
"2030","Animal control workers","33-9011",2.5,37.2,34.2,8.5,14.2,2.5,1,"2010"
"2031","Private detectives and investigators","33-9021",0.8,10.9,26.6,11.9,37.1,10,2.6,"2010"
"2032","Gaming surveillance officers and gaming investigators","33-9031",7.8,34.6,31.6,10.3,12.9,2.4,0.4,"2010"
"2033","Security guards","33-9032",7.8,34.6,31.6,10.3,12.9,2.4,0.4,"2010"
"2034","Crossing guards","33-9091",21.6,43.6,24.6,4.6,4.8,0.8,0.1,"2010"
"2035","Lifeguards, ski patrol, and other recreational protective service workers","33-9092",8.8,32.5,23.1,8.9,19.6,6.3,0.8,"2010"
"2036","Transportation security screeners","33-9093",2.4,26.3,36,14.7,17.7,2.7,0.2,"2010"
"2037","Protective service workers, all other","33-9099",8.8,32.5,23.1,8.9,19.6,6.3,0.8,"2010"
"2038","Chefs and head cooks","35-1011",19.4,28.7,21.7,16.2,12.4,1.1,0.5,"2010"
"2039","First-line supervisors of food preparation and serving workers","35-1012",12.5,37.3,28.3,7.9,11.9,1.8,0.4,"2010"
"2040","Cooks, fast food","35-2011",32.1,40.8,17.1,4.9,4.3,0.6,0.2,"2010"
"2041","Cooks, institution and cafeteria","35-2012",32.1,40.8,17.1,4.9,4.3,0.6,0.2,"2010"
"2042","Cooks, private household","35-2013",32.1,40.8,17.1,4.9,4.3,0.6,0.2,"2010"
"2043","Cooks, restaurant","35-2014",32.1,40.8,17.1,4.9,4.3,0.6,0.2,"2010"
"2044","Cooks, short order","35-2015",32.1,40.8,17.1,4.9,4.3,0.6,0.2,"2010"
"2045","Cooks, all other","35-2019",32.1,40.8,17.1,4.9,4.3,0.6,0.2,"2010"
"2046","Food preparation workers","35-2021",30.8,38.4,18.1,4.8,6.9,0.9,0.2,"2010"
"2047","Bartenders","35-3011",8.5,28,34.3,8.8,18.3,1.7,0.4,"2010"
"2048","Combined food preparation and serving workers, including fast food","35-3021",22,45.1,21.8,5.1,5.2,0.7,0.1,"2010"
"2049","Counter attendants, cafeteria, food concession, and coffee shop","35-3022",20.4,42.9,23,6,6.6,0.8,0.3,"2010"
"2050","Waiters and waitresses","35-3031",14.5,33.4,29.2,7.8,13,1.7,0.3,"2010"
"2051","Food servers, nonrestaurant","35-3041",20.9,41.7,23.3,5.7,7.7,0.4,0.2,"2010"
"2052","Dining room and cafeteria attendants and bartender helpers","35-9011",31.6,40.9,17.4,4.7,4.4,0.8,0.2,"2010"
"2053","Dishwashers","35-9021",45.5,37.7,11.1,2.4,2.7,0.5,0.2,"2010"
"2054","Hosts and hostesses, restaurant, lounge, and coffee shop","35-9031",14.9,32.5,26.2,8,16.2,2,0.2,"2010"
"2055","Food preparation and serving related workers, all other","35-9099",31.6,40.9,17.4,4.7,4.4,0.8,0.2,"2010"
"2056","First-line supervisors of housekeeping and janitorial workers","37-1011",15.8,41.2,25.7,6.7,8.7,1.6,0.3,"2010"
"2057","First-line supervisors of landscaping, lawn service, and groundskeeping workers","37-1012",19.6,29.5,23.4,8.3,16.9,2.1,0.2,"2010"
"2058","Janitors and cleaners, except maids and housekeeping cleaners","37-2011",27.3,44.4,18.6,4.8,4.1,0.6,0.2,"2010"
"2059","Maids and housekeeping cleaners","37-2012",39.6,39.4,13.4,3,3.9,0.4,0.2,"2010"
"2060","Building cleaning workers, all other","37-2019",27.3,44.4,18.6,4.8,4.1,0.6,0.2,"2010"
"2061","Pest control workers","37-2021",9.2,40.7,31.7,8.8,7.9,1.4,0.3,"2010"
"2062","Landscaping and groundskeeping workers","37-3011",40,34.6,14.6,4.3,5.5,0.8,0.2,"2010"
"2063","Pesticide handlers, sprayers, and applicators, vegetation","37-3012",40,34.6,14.6,4.3,5.5,0.8,0.2,"2010"
"2064","Tree trimmers and pruners","37-3013",40,34.6,14.6,4.3,5.5,0.8,0.2,"2010"
"2065","Grounds maintenance workers, all other","37-3019",40,34.6,14.6,4.3,5.5,0.8,0.2,"2010"
"2066","Gaming supervisors","39-1011",4.3,23.3,30.5,10,26.1,5.7,0.1,"2010"
"2067","Slot supervisors","39-1012",4.3,23.3,30.5,10,26.1,5.7,0.1,"2010"
"2068","First-line supervisors of personal service workers","39-1021",4.9,30.2,28.8,10.2,21.1,3.8,1,"2010"
"2069","Animal trainers","39-2011",9.1,31.2,24.4,7.7,22.4,3.7,1.5,"2010"
"2070","Nonfarm animal caretakers","39-2021",9.8,37,28,8,14.5,1.7,1,"2010"
"2071","Gaming dealers","39-3011",7.9,33.5,34.3,8.9,13.5,1.6,0.3,"2010"
"2072","Gaming and sports book writers and runners","39-3012",7.9,33.5,34.3,8.9,13.5,1.6,0.3,"2010"
"2073","Gaming service workers, all other","39-3019",7.9,33.5,34.3,8.9,13.5,1.6,0.3,"2010"
"2074","Motion picture projectionists","39-3021",4,25,24.9,22,21.2,2.8,0,"2010"
"2075","Ushers, lobby attendants, and ticket takers","39-3031",10.2,33,26.1,7.9,18.1,4.3,0.5,"2010"
"2076","Amusement and recreation attendants","39-3091",8.4,30,28.4,9,19,4.1,0.9,"2010"
"2077","Costume attendants","39-3092",8.4,30,28.4,9,19,4.1,0.9,"2010"
"2078","Locker room, coatroom, and dressing room attendants","39-3093",8.4,30,28.4,9,19,4.1,0.9,"2010"
"2079","Entertainment attendants and related workers, all other","39-3099",8.4,30,28.4,9,19,4.1,0.9,"2010"
"2080","Embalmers","39-4011",8.8,29.6,24.5,21.8,11.8,3.3,0.1,"2010"
"2081","Funeral attendants","39-4021",8.8,29.6,24.5,21.8,11.8,3.3,0.1,"2010"
"2082","Morticians, undertakers, and funeral directors","39-4031",1.5,8.2,20.4,33.5,27.9,4.1,4.3,"2010"
"2083","Barbers","39-5011",15.2,47,28.3,5.6,3,0.6,0.3,"2010"
"2084","Hairdressers, hairstylists, and cosmetologists","39-5012",7.2,45.9,32.7,9.2,4.3,0.5,0.3,"2010"
"2085","Makeup artists, theatrical and performance","39-5091",23,37.1,22.7,7.5,8.4,1,0.3,"2010"
"2086","Manicurists and pedicurists","39-5092",23,37.1,22.7,7.5,8.4,1,0.3,"2010"
"2087","Shampooers","39-5093",23,37.1,22.7,7.5,8.4,1,0.3,"2010"
"2088","Skincare specialists","39-5094",23,37.1,22.7,7.5,8.4,1,0.3,"2010"
"2089","Baggage porters and bellhops","39-6011",13,31.6,30.7,8.3,14.3,1.6,0.5,"2010"
"2090","Concierges","39-6012",13,31.6,30.7,8.3,14.3,1.6,0.5,"2010"
"2091","Tour guides and escorts","39-7011",6,18.9,21.5,8.3,33.7,9.3,2.2,"2010"
"2092","Travel guides","39-7012",6,18.9,21.5,8.3,33.7,9.3,2.2,"2010"
"2093","Childcare workers","39-9011",14.2,33,27.4,9.8,12.9,2.3,0.3,"2010"
"2094","Personal care aides","39-9021",18.9,34.7,26.7,7.9,9.5,1.7,0.5,"2010"
"2095","Fitness trainers and aerobics instructors","39-9031",2.3,17.8,25.2,9.6,35,8.6,1.5,"2010"
"2096","Recreation workers","39-9032",2.3,17.8,25.2,9.6,35,8.6,1.5,"2010"
"2097","Residential advisors","39-9041",5.3,24.2,32.1,10.5,18.7,8.5,0.6,"2010"
"2098","Personal care and service workers, all other","39-9099",10.8,30.7,29.2,7.8,17.6,2.9,0.9,"2010"
"2099","First-line supervisors of retail sales workers","41-1011",6.1,30.4,29.2,9,21.2,3.4,0.7,"2010"
"2100","First-line supervisors of non-retail sales workers","41-1012",5.3,22.2,24.8,8.2,30.1,8,1.4,"2010"
"2101","Cashiers","41-2011",15.8,40.6,25.6,6.7,9.5,1.5,0.3,"2010"
"2102","Gaming change persons and booth cashiers","41-2012",15.8,40.6,25.6,6.7,9.5,1.5,0.3,"2010"
"2103","Counter and rental clerks","41-2021",12.7,36.4,26,7.5,14.9,2.1,0.5,"2010"
"2104","Parts salespersons","41-2022",7.2,49.6,26.5,8.6,7.4,0.7,0.1,"2010"
"2105","Retail salespersons","41-2031",6.6,30.1,28.7,8.9,21.4,3.7,0.6,"2010"
"2106","Advertising sales agents","41-3011",1.8,14,22.2,7.8,46.9,6.6,0.8,"2010"
"2107","Insurance sales agents","41-3021",1.2,15.4,26.7,9.2,39,6.4,2.1,"2010"
"2108","Securities, commodities, and financial services sales agents","41-3031",1,7.5,15.6,6,51.2,16.1,2.7,"2010"
"2109","Travel agents","41-3041",1.9,19.1,30.8,13,28.4,6,0.7,"2010"
"2110","Sales representatives, services, all other","41-3099",2.3,16.4,26.4,8.6,38.7,6.7,0.9,"2010"
"2111","Sales representatives, wholesale and manufacturing, technical and scientific products","41-4011",2.9,17.8,23.7,8.3,39.8,6.7,0.8,"2010"
"2112","Sales representatives, wholesale and manufacturing, except technical and scientific products","41-4012",2.9,17.8,23.7,8.3,39.8,6.7,0.8,"2010"
"2113","Demonstrators and product promoters","41-9011",10.5,34.3,28.5,7.9,14.5,3.6,0.8,"2010"
"2114","Models","41-9012",10.5,34.3,28.5,7.9,14.5,3.6,0.8,"2010"
"2115","Real estate brokers","41-9021",1.2,13.6,28.2,9.4,37.2,8.7,1.8,"2010"
"2116","Real estate sales agents","41-9022",1.2,13.6,28.2,9.4,37.2,8.7,1.8,"2010"
"2117","Sales engineers","41-9031",0.2,3.5,15.6,12.2,53.3,14.4,0.9,"2010"
"2118","Telemarketers","41-9041",6.8,31.1,34.4,9.6,14.7,2.7,0.7,"2010"
"2119","Door-to-door sales workers, news and street vendors, and related workers","41-9091",15.8,31.6,26.3,7.4,14.6,3.1,1.1,"2010"
"2120","Sales and related workers, all other","41-9099",6.5,22,23.1,6.9,33.1,6.8,1.5,"2010"
"2121","First-line supervisors of office and administrative support workers","43-1011",2.8,23.6,30.3,11.2,24.4,6.4,1.3,"2010"
"2122","Switchboard operators, including answering service","43-2011",5,41.5,34.3,6.9,10.1,1.7,0.4,"2010"
"2123","Telephone operators","43-2021",4.5,34.9,37.8,10.2,11.2,1.1,0.5,"2010"
"2124","Communications equipment operators, all other","43-2099",1.9,17.9,27.3,13.6,32.3,6.3,0.6,"2010"
"2125","Bill and account collectors","43-3011",4,30.3,36.4,11.3,15,2.4,0.6,"2010"
"2126","Billing and posting clerks","43-3021",2.8,31.7,35.5,12.6,14.4,2.5,0.4,"2010"
"2127","Bookkeeping, accounting, and auditing clerks","43-3031",2.6,30.5,39.3,10.1,14.6,2.5,0.3,"2010"
"2128","Gaming cage workers","43-3041",9.1,41.7,31.3,6.9,10.2,0.8,0,"2010"
"2129","Payroll and timekeeping clerks","43-3051",1.4,27.9,38.5,13.2,17.1,1.7,0.2,"2010"
"2130","Procurement clerks","43-3061",1.8,23,35.4,10.6,22.5,6.3,0.4,"2010"
"2131","Tellers","43-3071",1.7,37.7,32.4,10.8,15.9,1.4,0.2,"2010"
"2132","Financial clerks, all other","43-3099",1.6,24.9,26.9,9,26.9,9.9,0.8,"2010"
"2133","Brokerage clerks","43-4011",0.8,17,32.6,8.2,39,2.3,0,"2010"
"2134","Correspondence clerks","43-4021",9,36.5,27.8,9.2,15,2.2,0.3,"2010"
"2135","Court, municipal, and license clerks","43-4031",1.8,29.9,33.4,16.1,15.5,2,1.3,"2010"
"2136","Credit authorizers, checkers, and clerks","43-4041",2.5,34.7,31,8.4,17.8,5,0.6,"2010"
"2137","Customer service representatives","43-4051",4.1,27.4,33.5,10.9,20.6,3.1,0.4,"2010"
"2138","Eligibility interviewers, government programs","43-4061",1.4,13.1,30,14.1,33.7,6.5,1.2,"2010"
"2139","File clerks","43-4071",3.9,29.5,32.1,12.4,17.7,3.9,0.5,"2010"
"2140","Hotel, motel, and resort desk clerks","43-4081",8.3,32.1,33.7,8.1,15.3,2.4,0.2,"2010"
"2141","Interviewers, except eligibility and loan","43-4111",1.9,22.5,35.8,13.2,19.8,5.3,1.4,"2010"
"2142","Library assistants, clerical","43-4121",1.4,18.9,25.5,10.5,34.4,8.3,1,"2010"
"2143","Loan interviewers and clerks","43-4131",2.1,28,36.9,11.2,19.8,1.8,0.2,"2010"
"2144","New accounts clerks","43-4141",1.7,31.9,34,9.7,19.3,3.1,0.2,"2010"
"2145","Order clerks","43-4151",9,36.5,27.8,9.2,15,2.2,0.3,"2010"
"2146","Human resources assistants, except payroll and timekeeping","43-4161",2.6,19.9,34.3,14,22.3,6.5,0.5,"2010"
"2147","Receptionists and information clerks","43-4171",3.9,36,34.2,11,12.6,2,0.4,"2010"
"2148","Reservation and transportation ticket agents and travel clerks","43-4181",2.7,24.9,34.6,10.3,23.8,3.2,0.6,"2010"
"2149","Information and record clerks, all other","43-4199",2.1,21.6,35.9,17.2,19.2,3.6,0.5,"2010"
"2150","Cargo and freight agents","43-5011",7.9,35,28.2,11.6,13.8,3.4,0,"2010"
"2151","Couriers and messengers","43-5021",7.7,35.8,33.7,9.4,11.4,1.4,0.6,"2010"
"2152","Police, fire, and ambulance dispatchers","43-5031",4.2,35.2,35.7,11.3,11.8,1.5,0.2,"2010"
"2153","Dispatchers, except police, fire, and ambulance","43-5032",4.2,35.2,35.7,11.3,11.8,1.5,0.2,"2010"
"2154","Meter readers, utilities","43-5041",4.4,43,33.6,9.2,8.1,1.6,0.1,"2010"
"2155","Postal service clerks","43-5051",2.4,33.4,37.8,9.7,14.8,1.8,0.2,"2010"
"2156","Postal service mail carriers","43-5052",2.5,36.7,36.9,10.3,12.3,1.1,0.2,"2010"
"2157","Postal service mail sorters, processors, and processing machine operators","43-5053",3.1,34.2,38.2,9,13.5,1.7,0.4,"2010"
"2158","Production, planning, and expediting clerks","43-5061",2.6,26.1,30,12.2,23.5,5.2,0.5,"2010"
"2159","Shipping, receiving, and traffic clerks","43-5071",14.4,44.8,26.6,6.6,6.7,0.6,0.2,"2010"
"2160","Stock clerks and order fillers","43-5081",15.1,43.2,25.8,6.6,8.1,1,0.2,"2010"
"2161","Weighers, measurers, checkers, and samplers, recordkeeping","43-5111",13,38.7,28.9,7.1,10.2,1.3,0.8,"2010"
"2162","Executive secretaries and executive administrative assistants","43-6011",2.2,29.9,35,13.8,16.2,2.6,0.4,"2010"
"2163","Legal secretaries","43-6012",2.2,29.9,35,13.8,16.2,2.6,0.4,"2010"
"2164","Medical secretaries","43-6013",2.2,29.9,35,13.8,16.2,2.6,0.4,"2010"
"2165","Secretaries and administrative assistants, except legal, medical, and executive","43-6014",2.2,29.9,35,13.8,16.2,2.6,0.4,"2010"
"2166","Computer operators","43-9011",2.9,24.6,30.9,14.5,22.8,3.7,0.6,"2010"
"2167","Data entry keyers","43-9021",2.8,30.5,35,12.6,16.2,2.5,0.4,"2010"
"2168","Word processors and typists","43-9022",2.2,30.4,34.9,13.9,15.3,2.9,0.5,"2010"
"2169","Desktop publishers","43-9031",2.4,22.7,31.9,11.3,24.3,6.5,0.8,"2010"
