employment,code,degrees,number,year
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,bachelor,0.5,2014
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,master,0.8,2014
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,doctor/professional,2.9,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,less hs,31.5,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,high school,37.3,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,"some college, no degree",14.2,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,associate,6.1,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,bachelor,9.5,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,master,1.2,2014
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,doctor/professional,0.3,2014
Fabric and apparel patternmakers(1),51-6092,less hs,31.5,2014
Fabric and apparel patternmakers(1),51-6092,high school,37.3,2014
Fabric and apparel patternmakers(1),51-6092,"some college, no degree",14.2,2014
Fabric and apparel patternmakers(1),51-6092,associate,6.1,2014
Fabric and apparel patternmakers(1),51-6092,bachelor,9.5,2014
Fabric and apparel patternmakers(1),51-6092,master,1.2,2014
Fabric and apparel patternmakers(1),51-6092,doctor/professional,0.3,2014
Upholsterers,51-6093,less hs,33.2,2014
Upholsterers,51-6093,high school,39.1,2014
Upholsterers,51-6093,"some college, no degree",16.6,2014
Upholsterers,51-6093,associate,5.4,2014
Upholsterers,51-6093,bachelor,3.7,2014
Upholsterers,51-6093,master,1.8,2014
Upholsterers,51-6093,doctor/professional,0.3,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,less hs,31.5,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,high school,37.3,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,"some college, no degree",14.2,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,associate,6.1,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,bachelor,9.5,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,master,1.2,2014
"Textile, apparel, and furnishings workers, all other(1)",51-6099,doctor/professional,0.3,2014
Cabinetmakers and bench carpenters,51-7011,less hs,19.1,2014
Cabinetmakers and bench carpenters,51-7011,high school,44,2014
Cabinetmakers and bench carpenters,51-7011,"some college, no degree",19.4,2014
Cabinetmakers and bench carpenters,51-7011,associate,7.3,2014
Cabinetmakers and bench carpenters,51-7011,bachelor,8.7,2014
Cabinetmakers and bench carpenters,51-7011,master,1.3,2014
Cabinetmakers and bench carpenters,51-7011,doctor/professional,0.1,2014
Furniture finishers,51-7021,less hs,26.1,2014
Furniture finishers,51-7021,high school,40.7,2014
Furniture finishers,51-7021,"some college, no degree",20.2,2014
Furniture finishers,51-7021,associate,3.6,2014
Furniture finishers,51-7021,bachelor,7.5,2014
Furniture finishers,51-7021,master,1.8,2014
Furniture finishers,51-7021,doctor/professional,0,2014
"Model makers, wood(1)",51-7031,less hs,18.4,2014
"Model makers, wood(1)",51-7031,high school,36.7,2014
"Model makers, wood(1)",51-7031,"some college, no degree",21.1,2014
"Model makers, wood(1)",51-7031,associate,9.4,2014
"Model makers, wood(1)",51-7031,bachelor,11.5,2014
"Model makers, wood(1)",51-7031,master,2.5,2014
"Model makers, wood(1)",51-7031,doctor/professional,0.4,2014
"Patternmakers, wood(1)",51-7032,less hs,18.4,2014
"Patternmakers, wood(1)",51-7032,high school,36.7,2014
"Patternmakers, wood(1)",51-7032,"some college, no degree",21.1,2014
"Patternmakers, wood(1)",51-7032,associate,9.4,2014
"Patternmakers, wood(1)",51-7032,bachelor,11.5,2014
"Patternmakers, wood(1)",51-7032,master,2.5,2014
"Patternmakers, wood(1)",51-7032,doctor/professional,0.4,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,less hs,29.7,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,high school,49.6,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,"some college, no degree",14.1,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,associate,4.3,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,bachelor,2.1,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,master,0,2014
"Sawing machine setters, operators, and tenders, wood",51-7041,doctor/professional,0,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,less hs,23.6,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,high school,55.4,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,"some college, no degree",11.1,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,associate,5.1,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,bachelor,4,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,master,0.8,2014
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,doctor/professional,0,2014
"Woodworkers, all other(1)",51-7099,less hs,18.4,2014
"Woodworkers, all other(1)",51-7099,high school,36.7,2014
"Woodworkers, all other(1)",51-7099,"some college, no degree",21.1,2014
"Woodworkers, all other(1)",51-7099,associate,9.4,2014
"Woodworkers, all other(1)",51-7099,bachelor,11.5,2014
"Woodworkers, all other(1)",51-7099,master,2.5,2014
"Woodworkers, all other(1)",51-7099,doctor/professional,0.4,2014
Nuclear power reactor operators(1),51-8011,less hs,1.4,2014
Nuclear power reactor operators(1),51-8011,high school,30.6,2014
Nuclear power reactor operators(1),51-8011,"some college, no degree",32.1,2014
Nuclear power reactor operators(1),51-8011,associate,18.3,2014
Nuclear power reactor operators(1),51-8011,bachelor,14.6,2014
Nuclear power reactor operators(1),51-8011,master,2.7,2014
Nuclear power reactor operators(1),51-8011,doctor/professional,0.3,2014
Power distributors and dispatchers(1),51-8012,less hs,1.4,2014
Power distributors and dispatchers(1),51-8012,high school,30.6,2014
Power distributors and dispatchers(1),51-8012,"some college, no degree",32.1,2014
Power distributors and dispatchers(1),51-8012,associate,18.3,2014
Power distributors and dispatchers(1),51-8012,bachelor,14.6,2014
Power distributors and dispatchers(1),51-8012,master,2.7,2014
Power distributors and dispatchers(1),51-8012,doctor/professional,0.3,2014
Power plant operators(1),51-8013,less hs,1.4,2014
Power plant operators(1),51-8013,high school,30.6,2014
Power plant operators(1),51-8013,"some college, no degree",32.1,2014
Power plant operators(1),51-8013,associate,18.3,2014
Power plant operators(1),51-8013,bachelor,14.6,2014
Power plant operators(1),51-8013,master,2.7,2014
Power plant operators(1),51-8013,doctor/professional,0.3,2014
Stationary engineers and boiler operators,51-8021,less hs,6.1,2014
Stationary engineers and boiler operators,51-8021,high school,39.2,2014
Stationary engineers and boiler operators,51-8021,"some college, no degree",31.7,2014
Stationary engineers and boiler operators,51-8021,associate,10.6,2014
Stationary engineers and boiler operators,51-8021,bachelor,10.1,2014
Stationary engineers and boiler operators,51-8021,master,1.7,2014
Stationary engineers and boiler operators,51-8021,doctor/professional,0.6,2014
Water and wastewater treatment plant and system operators,51-8031,less hs,3.9,2014
Water and wastewater treatment plant and system operators,51-8031,high school,38.2,2014
